UserId,ItemId
26,3186 2418 2855 2885 51 147 1531 1241 1034 126 2470 597 964 2931 1613 344 577 2955 2940 968 505 84 2031 471 167 485 1430 939 2986 331 490 2845 1195 486 2757 454 1765 1290 3046 1521 2546 1496 1720 984 283 2384 1298 1802
27,1001 3041 2402 1195 2107 505 2661 3176 2527 1614 2685 2822 565 300 454 486 490 1496 13 585 1715 334 1915 1916 2893 1012 905 53 2494 2330 1298 1720 1521 1862 376 1014 35 51 3046 836 704 984 751 2309 309 2387 1594 822 328 733 2562 2082 3162 2113 448 2297 2665 3136 828 384 676 167 2504 515 1600 593 1218 3206 1422 1239 3223 637 1958 968 2879 1853 2428 964 2217 1656 2669 1861 1444 147 1840 1281 706 2455 2977 1020
28,490 3061 1185 1868 2312 588 335 372 987 905 1575 1129 856 954 2431 231 2392 2631 1896 2977 2651 2115 1002 337 1015 1432 1325 319 2474 1224 3241 1268 243 938 1317 2889 2193 2297 2285 458 734 405 2217 1797 1855 2810 1475 2957 2648 1755 714 505 2546 1474 358 1006
29,1277 2031 2885 439 1377 697 3229 465 2108 1013 3022 2855 2022 427 2750 2359 987 1875 2122 2841 2127 596 988 1204 1340 1773 2361 814 1512 2350 2370 1290 1818 2198 34 2995 470 748 1714 45 115 1213 202 272 1371 2964 1122 3194 3003 1494 1402 532 2478 1920 423 4 1901 779 1370 1639 3028 2632 753 2940 1465 859 2222 417 1749 1800 2012 2269 870 113 620 1160 1065 2469 1195 338 673 225 2210 1589 2295 3054
30,2107 2788 935 1770 1324 1657 490 1386 2652 2885 2022 197 1849 3087 1747 1032 2822 91 2811 2431 2779 1268 1299
31,1195 167 1858 1812 2855 369 856 2196 539 231 876 2959 1325 319 1224 836 2262 1474 505 2970 3142 1088
32,1901 2011 2885 718 2222 2651 2182 1213 964 1137 2931 2499 2537 465 1868 3250 2312 989 2464 2726 2320 505 2339 1262 865 697 517 2351 2034 2361 3022 2814 3037 2455 2187 706 1224 2875 2652 1386 607 1197 457 770 2265 1673 1942 167 663 745 545 3127 1430 2855 1295 1857 939 2527 259 3083 938 2823 740 296 128 2086 14 685 2972 2071 1563 3182 1094 312 521 1194 830 1063 2841 1189 945 2022 1348 2470 241 100 987 1818 1498 1046 501 2937 803 2343 2714 1922 1371 1923 471 239 1987 1845 1359 1926 3157 2429 2800 1406 1763 2756 911 3080 1474 1470 2415 2592 3186 2087 2585 2163 1873 587 1915 1239 1973 739 423 2217 91 1001 2039 2773 957 2258 19 45 959 232 272 910 1071 74 1385 956 2908 2750 659 2578 814 2127 202 3229 2350 3241 1290 115 1991 988 596 2976 2147 1920 991 2198 346 2807 48 2563 2649 2844 186 512 1106 479
33,2756 2431 911 2263 2724 270 2496 2001 2365 28 1389 2270 1406 3080 2429 1763 2800 983 435 1276 2955 577 2279 2505 1169 961 3150 362 1747 1032 431 949 2941 2283
34,2178 1290 2312 698 1218 2537 865 1868 3031 1193 2464 417 1307 573 968 275 2837 1455 300 2455
35,2652 1231 1106 2460 2470 2537 2182 2651 1268 1241 1213 964 651 887 2339 1269 3142 706 655 122 1194 845 3250 2977 1020 512 331 1220 1339 2908 468 2538 2262 2002 2225 1529 1927 2392 412 1354 2464 2022 1443 1755 1200 2726 2320 1800 1102 2541 255 1991 1737 1784 1818 491 2885 1498 454 2883 2350 1939 2398 2875 814 2551 168 2603 803 2976 2994 229 2006 100 3049 1371 2055 166 2399 115 2932 2819 2163 2176 2325 1088 1147 2384 346 2874 868 1010 48 2393 2937 2585 1547
36,1553 1747 2730 646 1377 1218 3106 2182 1575 3116 2651 2724 1008 1804 553 1912 964 1480 677 2565 2931 651 2763 1613 2368 2499 1034 259 2328 3236 2070 2470 525 1969 1152 1268 475 1213 2844
37,2538 1185 2616 1595 490 1804 651 3106 776 1531 2182 444 2931 2565 126 759 677 1055 1868 1507 2380 769 1575 471 706 3142 505 2455 2521 2173 1325 2905 1871 847 714 170
38,1635 865 2537 1685 2224 1048 590 1984 1200 1770 1567 2463 1784 3049 2470 280 2398 2320 975 514 2551 48 2006 2133 100 2595 1088 346 1239 2147 3052 2914 964 2350 674 3175 2163 229 115 2883 2937 2696 3257 811 1129 2044 3014 3064 2790 2933 423 91 1147 2652 765 2423 868 116 2825 68 1010 2958 1967 2945 1973 2049 62 2705 1432 1864 1936
39,2312 1386 351 2179 653 3041 3142 1918 457 663 2066 2514 1693 3127 3109 317 3026 1860 1417 770 2831 15 2034 1923 2508 1673 2706 1376 1505 2899 1341 402 1034 2902 277 299
40,1399 865 1648 2940 2460 2448 2259 122 2382 1868 1681 2537 3142 637 1770 1474 2946 719 1455 1269 2320 443 1784
41,2372 1218 2525 2887 2537 656 1575 2523 1455 1185 865 275 719 231 1868 2117 706 698 2007 243 1474 1150 1648 2726 1681 637 280 2295 1057 505 2971 2791 3040 3092 1784 1365 1020 3031 234 1000 3049 2977 3079 1770 2966 1200 2441 1715 437 2398 1048 1614 2455 372 3142 960 2313 1871 2902 714
42,1519 328 2955 837 1193 2966 2193 1673 2754 714 2445 1575 147 2651 1034 3118 1268 2724 2070 545 2470 1607 2182 3106 2810 1529 3189 2844 2417 1922 2072 1213 282 964 163 2859 1480 2743 1475 2958 1055 651 126 2111 2019 2499 271 2931 2800 2368 1753 3000 597 577 465 1809 1059 2022
43,1731 1944 2944 3052 2075 2714 1494 2350 3241 988 779 346 3023 2649 617 2652 219 229 423 1973 497 1714 3059 2369 2111 868 3003 1920 959 803 532 328 2163 505 706 486 2089 1130 1264 402 1005 684 2970 1394 2006 1365 2977 1195 2902 1987 3187 2453 358 2087 1185 2767 1022 2555 3008 240 2338 2152 157
44,2488 2877 916 490 1635 3189 1547 1941 1268 2810 2182 64 2072 2934 1213 2217 1822 597 2380 2417 776 2225 1048 1162 2076 1976 3150 651 755 2368 734 2352
45,976 940 3179 2940 2944 981 1898 1129 905 856 1575 2316 1686 1896 2631 2164 2115 2413 2651 1405 337 1975 2784 1015 1325 677 1224 2474 2443 2306 1154 553 3241 938 1268 243 1598 3243 1518 2550 1269 1317 1005 458 2193 836 1519 1797 2810 335 1964 1470 1054 1644 1755 2546 714 1474 2113 3150 505 3 394 2594 655 358 1284 886 2216 1769 3142 2182 2841 288 954 692 990 91 2196 2811 2431 231 2441 2364 1056 2958 2497 3087
46,465 1056 2885 1200 1377 2420 2182 2119 655 1474 2198 2750 2649 1991 1797 1956 1770 1268 2431 3150 961 362 2704 1941
47,2514 2470 2351 1213 2217 3142 1681 2726 1567 1195 2971 454 2862 443 275 869 1444 571 2521 964 3187 1783 845 2350 1006 2551 1871 1853 2937 1635 1060 1577 1643 1197 1818 2022 677 2840 490 590 465 2750 1443 644 3209 2044 2055 296 380 1088 346 2384 2198 3229 1239 796 115 1290 91 2790 775 2428 1973 2696 292 116 423 2705 1446 2919 43 515 2499 1001 2185 2810 1941 2385 1474 1575 706 3241 1224 2845 2173 1226 2455 1377 683 3223 1977 2631 1200 2299 814 2841 2807 2563 1401 488 1901 2240 4 2471 1048 2114 361 1023 3181
48,1200 1478 1195 2786 2762 1575 1034 1268 2470 545 2810 1377 1804 1213 1922 1529 2844 685 2022 1770 3181 1749 2811
49,1001 2724 2470 2208 2024 2398 1023 1677 1575 1241 1034 344 387 2844 276 1455 1949 2547 573 1786 2814 1693 1860 18 1868 968 333 2013 3239 1637 3127 1793 1826 1749 637 662 2278 44 2845 1099 1557 3040 2100 1880 3031 2125 3246 329 3110 3225 1754 2574 2508 2971 945 1657 380 1734
50,1917 1850 485 1735 2031 1474 1268 1804 1307 2997 3139 1190 1156 1295 2855 1619 2731 2989 830 651 2934 856 2651 2323 2392 770 1637 2120 1907 1505 2080 2536 231 2514 1575 1835 176 3182 457 1365 863 1923 505 1755 471 290 2527 741 3237 387 1034 613 277 2275 167 2415 1424 2127 384 2928 2115 2977 2831 1922 706
51,2750 1195 1200 2022 849 1489 865 3092 92 1575 2117 719 976 164 1150 3176 2463 2527 3030 1170 981 637 783 2178 2966 676 2837 1000 1544 854 1958 3040 1321 1125 2898 2598 1715 892 1106 2070 1119 1192 1601 3152 2331 443 1215 1473 2688 1056 2295 490 1207 2275 2821 537 691 1593 1684
52,1386 243 333 952 545 1129 905 856 1575 987 954 1969 1087 395 2811 231 2977 1896 2651 2115 2164 1975 319 244 1325 676 1861 2474 1268 553 938 3241 1154 2305 405 1240 458 2217 2810 1964 2262 3150 866 714 1054 1474 655 505 2546
53,1 1185 1498 2963 465 1023 3236 1034 651 2470 1969 553 964 958 1213 2499 954 2811 231 2431 876 829 2631 2115 3210 1861
54,2885 637 770 2460 2380 2934 1984 2810 2634 1873 598 1822 505 1575 3079 1195 384 2521 231 1001 2174 443 2795 847 3241 402 571 439 3186 1614 1119 1568 1853 2350 1075 865 275 2527 1200
55,1648 3127 490 1195 3035 3178 412 750 1336 1185 770 176 387 2831 745 1364 1230 275 719 1127 2837 2455 522 3031 1861 553 2810 588 1685 358 840 1464 3166 2464 1575 2567 1232 865 430
56,3085 2652 2885 2022 878 1082 2977 682 2651 863 2127 697 1332 2351 745 2571 3158 1194 845 425 2002 1063 2069 2173 3023 122 1281 1762 2819 2788 2817 2677 764 1339 1531 706 1006 312 1165 1529 2370 45 1430 2972 2538 2088 2522 1216 545 128 422 3047 1094 2086 1212 2592 2881 1462 468 2411 2369 1530 1145 1517 1838 2690 575 272 1978 331 3003 1020 910 2011 1626 2025 2763 1902 2439 2258 1863 1379 197 1846 1920 2309 710 549 2670 2632 303 1963 2462 1702 287 2535 1158 3142 3120 315 259 2107 214 2962 2438 2455 169 2923 1882 2561 906 2444 718 2960 1168 1090 1360 3179 1927 356 1723 2213 2936 2605 1794 843 1173 244 636 3143 3025 791 1680 170 1871 2865 2350 1853 3241 3186 3223 1452 836 71 1242 905 1348 2726 3087 2470 2937 192 720 1289 2963 1602 2111
57,2532 2238 2977 2384 1757 2339 830 2568 2463 1189 1681 1185 706 275 2726 719 1575 1672 1474 865 2117 698 1455 655 1868 1755 2710 3176 2007 2474 1127 1203 3118 2193 637 2476 676 3035 147 1150 1661 1958 2939 2837 1005 2232 3220 2527 99 3079 3237 505 837 783 2966 2283 2525 3147 939 1106 2661 1684 1113 3049 2810 2182 2217 1268 2499 1547 2934 1213 191 1475 2072 815 1087 64
58,446 1661 755 905 1575 2316 856 954 2196 539 876 2431 231 2811 2631 2362 1896 2164 2651 1002 1015 1975 1325 1861 2474 1224 1268 1355 2297 458 1240 1797 2810 714 1474
59,2206 2306 1195 1688 1304 1465 3041 1411 1260 1281 422 1466 1020 863 84 307 1194 173 485 2197 1689 1104 1548 3158 128 1236 2018 2119 1430 313 162 545 331 2088 1529 1366 468 2002 2973 1385 2972 3242 2844 2540 2702 1531 2783 697 2011 706 3244 231 471 505 1325 2174 1618 2455 384 2939 3142 1672 1575 830 2007 1614 2485 402 3186 939 2921 486 2902 99 847 1765 2364 2292 1374 1520 2977 401 2282 2521 565 164 2173 458 688 372 2415 960 3079 585 334 613 2442 1119 3241 1412 1533 2075 3152 213 615 1001 0 1264 443 593 2444 1114 2503 1115 842 1917 3087 2613 1130 370 170 2711 13 1871 2723
60,396 1197 2598 1660 1046 1156 2182 3189 1241 1531 651 553 2763 1152 2072 964 677 2417 840 157 1185 1127 1203 358 1987 2457 2857 3145
61,2470 2885 2312 907 865 2031 1770 2537 1474 275 3142 1200 426 706 1113 490 2320 3220 783 1195 1684 122 2976 2291 1020 1781 471 1006 2441 2538 2977 571 1529 803 2398 1168 2957 2309 1635 439 468 2652 1362
62,1404 2885 2115 2039 3071 728 1048 2700 3178 1232 2064 2180 871 1078 719 2514 3032 1754 1677 855 2940 2024 1357 2622 1059 1465 2754 1586 2144 1330 412 1004 2005 273 1185 770 2608 3127 968 1193 1455 594 1662 2312 762 1575 2222 230 2547 2804 2549 1693 3174 1112 1820 3250 166 663 2814 1470 2022 1793 465 333 1648 1072 1027 3239 1200 1956 3248 1065 1336 750 1348 2030 329
63,3041 919 448 1268 553 2810 1804 2182 1213 964 2931 2320 100 2470 2726 1575 1197 2299 167 1156 1034 2533 2855 3150 157 2555 2529 3008 2152 2087 358 2767 588 2211 1032 1280 347 3059 1722 1106 2350 2937 2825 2413 2957 2799 121 1748 1602 2666 2802 2286 1315 1117 1868 2537 719 865 1770 637 275 2661 2117 1113 2971 3220 2476 443 426 2862 988 2295 3147 1544 3219 3124 1635 490 1761 1414 1119 2795 371 1421 180 2006 1715 1383 163 64 1474 1784 1185 454 869 1567 115 2551 1001 2932 48 2472 1977 885 1987 362
64,962 2022 1961 1239 919 3236 1197 2385 1575 987 91 1969 954 2811 3201 2431 2977 2164 2115 2779 2959 1975 676 1861 1224 1531 2474 155 1268 938 1154 3241 2305 613 1005 1336 2 458 1797 239 2930 836 1470 25 335 2262 3194 1641 1755 1054 751 2546 505 1474 655 2970 358 1088 3142 1873 1117 2841 1941 2072 1213 1857 957 2127 596 2351 1386 1942 489 924 45 2757 396 14 214 232 1533 1402 1495 1371 2258 1071 1796 2652 272
65,2311 1195 1737 2470 335 1991 2163 2754 2103 1268 2652 1386 1200 1770 2855 2726 517 1956 2541 1784 2750 2885 465 2022 814 2155 2537 1465
66,2384 3051 1200 2291 1219 1268 1492 2852 1861 677 1213 2352 876 776 1387 3150 3009 582 49 553 1575 147 1241 2182 259 276 964 2931 651 755 856 2316 91 954 2431
67,197 2885 307 683 2163 231 2217 964 938 214 2976 2960 2470 3241 2369 186 2350 1706 1212 2520 2111 2535 1494 2652 2571 1320 2039 3032 518 2113 490 1474 959 1020 1339 1117 315 1019 946 505 2850 1386 1656
68,1273 2307 2088 2855 1051 2448 1329 1200 465 517 1357 1386 2726 975 2022 491 2320 3209 1770 1784 1268 1443 1102 2914 2750 380 2667 3073 2745 2133 2006 3130 31 3022 3237 3247 783 2976 115 1520 521 454 89 2099 1941 2760 2182 2230 2470 3236 2398 644
69,1156 2470 2312 750 1770 1023 2180 384 2514 2939 1871 471 847 231 1119 1130 3186 2464 1949 1193 3123 1880 2940 550 2030 496 2024 2537 494 333 275 2547 1868 2013 417 3139 637 662 1793 3231 329 756 1200 1059 1348 2671 2431 862 3181 167 465 702 780 1135 3037 1407 1673 1352 2299 762 2645
70,1362 1200 2312 2031 1812 3223 1424 457 1102 115 1861 637 2537 1034 958 166 1078 2498 1568
71,2447 3187 1052 2024 1770 1917 481 2706 340 2142 2221 505 1693 2536 3037 277 2575 1673 2100 1295 2855 15 1505 1942 231 2222 86 1405 176 1365 372 167 2006 385 939 1034 1325 960 1923 3026
72,2411 333 1812 557 545 266 1024 3089 1229 59 238 938 2728 2171 2602 818 1305 324 816
73,2031 2931 1102 2022 2966 976 1900 2312 2320 1200 2463 2726 1770 2470 2147 1147 783 1784 2044 2350 2472 115 2932 1567 100 497 1254 2551 454 803 2696 3052 1964 229 346 48 2876 2883 2428 292 964 91 2338 231 505 2115 2902 1672 1283 2521 3079 486 471 960 1871 1195 2977 99 443 1365 2939 3186 1768 905 2282 2089 3241 3035 1680 213 1455 275 698 2070 2862 147 1196 501 588 3114 1651 1868 865 2537 1409 3031 2611 384 2117
74,96 369 2312 2214 2885 1307 2537 1868 1455 496 865 1185 2022 2547 1386 1673 1800 719 2855 1200 384 275 2974 277 2862 2299 3142 1875 1113 697 3031 863 745 2726 1784 706 1770 1812 1343 2206 1197 3231 415 1443 380 1474 231 505 2527 3147 2971 975 1195 1881 988 1684 2946 443 1567 471 147 1761 2117 2295 3049 2320 2661 1339 3220 2555 1958 3103 2398
75,2940 74 2024 1513 669 2464 2170 1868 2689 865 719 1672 1185 1575 1681 2740 401 2837 1200 471 231 2007 2480 1386 494 2005 3178 1193 2180 1956 417 277 1923 3209 2770 1786 3109 662 1875 359 3021 2179 2222 1241 3127 2695 3110 2706 663 945 1274 2034 31 2783 1134 1060 1539 299 2818 2781 858 1177 3174 1228 1829 430 2221 3022 697 1194 2622 1811 1880 1835 2031 1466 1372 216 1616 85 1072 2064 77 2092 2617 2318 647 1136 2059 1061 2256 2677 2703 2403 1949 898 3193 1336 2144 1053 2125 2047 427 730 750 639 1662 2190 2241 134 1778 259 1677 608 2440 999 2018 1665 1417 2827 1459 2004 600 2823 2106 2086 3159 3239 2039 333 1198 695 2536 1889 226 32 2435 3229 1023
76,2885 2781 1200 1130 2031 43 1023 1241 387 1268 1034 1922 748 964 1625 2931 2537 865
